fecha;dia;hora;grados;cantidad
20110507;6;13;21;92
20110507;6;14;22;24
20110507;6;15;22;4
20110509;1;7;10;1
20110509;1;8;11;119
20110509;1;9;12;78
20110509;1;10;13;92
20110509;1;11;14;83
20110509;1;12;14;102
20110509;1;13;15;193
20110509;1;14;16;116
20110509;1;15;16;148
20110509;1;16;17;140
20110509;1;17;17;178
20110509;1;18;17;190
20110509;1;19;16;59
20110509;1;20;16;1
20110510;2;7;15;5
20110510;2;8;15;125
20110510;2;9;16;129
20110510;2;10;17;89
20110510;2;11;19;100
20110510;2;12;20;127
20110510;2;13;21;163
20110510;2;14;22;139
20110510;2;15;22;120
20110510;2;16;22;165
20110510;2;17;22;233
20110510;2;18;22;219
20110510;2;19;20;40
20110510;2;20;19;1
20110511;3;7;17;3
20110511;3;8;18;121
20110511;3;9;18;133
20110511;3;10;19;104
20110511;3;11;20;114
20110511;3;12;22;145
20110511;3;13;24;199
20110511;3;14;24;149
20110511;3;15;24;140
20110511;3;16;24;139
20110511;3;17;24;225
20110511;3;18;22;230
20110511;3;19;22;49
20110511;3;20;21;1
20110512;4;7;14;2
20110512;4;8;14;122
20110512;4;9;15;159
20110512;4;10;16;90
20110512;4;11;16;120
20110512;4;12;16;121
20110512;4;13;17;163
20110512;4;14;18;152
20110512;4;15;20;155
20110512;4;16;19;151
20110512;4;17;19;206
20110512;4;18;18;257
20110514;6;14;18;18
20110516;1;7;16;2
20110516;1;8;16;113
20110516;1;9;16;117
20110516;1;10;16;109
20110516;1;11;17;97
20110516;1;12;18;115
20110516;1;13;18;146
20110516;1;14;18;164
20110516;1;15;18;123
20110516;1;16;18;126
20110516;1;17;18;204
20110516;1;18;17;217
20110516;1;19;17;55
20110517;2;7;15;5
20110517;2;8;15;109
20110517;2;9;16;116
20110517;2;10;16;112
20110517;2;11;17;116
20110517;2;12;18;103
20110517;2;13;18;166
20110517;2;14;19;184
20110517;2;15;20;125
20110517;2;16;20;144
20110517;2;17;19;247
20110517;2;18;18;210
20110517;2;19;17;45
20110517;2;20;17;2
20110518;3;7;15;5
20110518;3;8;15;151
20110518;3;9;16;152
20110518;3;10;16;96
20110518;3;11;17;105
20110518;3;12;18;147
20110518;3;13;19;166
20110518;3;14;19;164
20110518;3;15;20;153
20110518;3;16;20;181
20110518;3;17;20;248
20110518;3;18;19;221
20110518;3;19;18;50
20110519;4;7;15;3
20110519;4;8;16;130
20110519;4;9;17;150
20110519;4;10;17;127
20110519;4;11;18;114
20110519;4;12;19;151
20110519;4;13;19;219
20110519;4;14;21;175
20110519;4;15;21;153
20110519;4;16;21;185
20110519;4;17;21;259
20110519;4;18;20;289
20110519;4;19;20;57
20110519;4;20;20;2
20110520;5;7;17;8
20110520;5;8;17;139
20110520;5;9;18;143
20110520;5;10;18;90
20110520;5;11;18;117
20110520;5;12;20;151
20110520;5;13;20;153
20110520;5;14;20;166
20110520;5;15;22;144
20110520;5;16;22;162
20110520;5;17;21;181
20110520;5;18;21;181
20110520;5;19;21;47
20110521;6;9;18;32
20110521;6;10;18;49
20110521;6;11;19;74
20110521;6;12;20;100
20110521;6;13;21;73
20110521;6;14;22;32
20110523;1;7;9;3
20110523;1;8;9;84
20110523;1;9;10;81
20110523;1;10;11;102
20110523;1;11;12;77
20110523;1;12;13;110
20110523;1;13;14;151
20110523;1;14;14;148
20110523;1;15;15;108
20110523;1;16;15;144
20110523;1;17;14;167
20110523;1;18;14;202
20110523;1;19;14;59
20110524;2;7;13;5
20110524;2;8;14;100
20110524;2;9;15;146
20110524;2;10;15;92
20110524;2;11;16;102
20110524;2;12;16;102
20110524;2;13;16;91
20110524;2;14;16;37
20110524;2;15;15;54
20110524;2;16;15;19
20110524;2;17;14;25
20110524;2;18;14;14
20110524;2;19;14;8
20110526;4;7;10;3
20110526;4;8;10;100
20110526;4;9;10;114
20110526;4;10;11;75
20110526;4;11;13;89
20110526;4;12;14;128
20110526;4;13;14;152
20110526;4;14;14;123
20110527;5;9;12;111
20110527;5;10;13;94
20110527;5;11;15;96
20110527;5;12;15;156
20110527;5;13;15;151
20110527;5;14;15;160
20110527;5;15;15;125
20110527;5;16;15;149
20110527;5;17;15;161
20110527;5;18;15;154
20110527;5;19;15;45
20110528;6;9;14;22
20110528;6;10;14;41
20110528;6;11;15;50
20110528;6;12;15;102
20110528;6;13;15;94
20110528;6;14;16;41
20110530;1;7;13;6
20110530;1;8;13;121
20110530;1;9;13;112
20110530;1;10;14;96
20110530;1;11;14;94
20110530;1;12;15;113
20110530;1;13;15;142
20110530;1;14;15;123
20110530;1;15;16;122
20110530;1;16;16;126
20110530;1;17;16;170
20110530;1;18;15;166
20110530;1;19;15;42
20110531;2;7;13;2
20110531;2;8;13;128
20110531;2;9;13;128
20110531;2;10;13;90
20110531;2;11;14;98
20110531;2;12;15;138
20110531;2;13;16;147
20110531;2;14;17;131
20110531;2;15;17;145
20110531;2;16;17;131
20110531;2;17;17;170
20110531;2;18;17;186
20110531;2;19;16;49
20110601;3;7;13;4
20110601;3;8;13;123
20110601;3;9;13;124
20110601;3;10;14;116
20110601;3;11;15;109
20110601;3;12;16;152
20110601;3;13;17;141
20110601;3;14;17;131
20110601;3;15;17;134
20110601;3;16;17;134
20110601;3;17;16;173
20110601;3;18;16;173
20110601;3;19;16;35
20110601;3;20;16;1
20110602;4;7;13;2
20110602;4;8;13;137
20110602;4;9;13;125
20110602;4;10;14;117
20110602;4;11;14;107
20110602;4;12;15;127
20110602;4;13;15;157
20110602;4;14;15;124
20110602;4;15;15;136
20110602;4;16;16;136
20110602;4;17;16;183
20110602;4;18;17;177
20110602;4;19;17;44
20110603;5;7;11;5
20110603;5;8;11;129
20110603;5;9;11;87
20110603;5;10;11;100
20110603;5;11;11;129
20110603;5;12;12;135
20110603;5;13;12;153
20110603;5;14;12;158
20110603;5;15;13;127
20110603;5;16;13;131
20110603;5;17;13;155
20110603;5;18;12;170
20110603;5;19;14;41
20110604;6;9;9;22
20110604;6;10;9;34
20110604;6;11;10;41
20110604;6;12;10;60
20110604;6;13;11;60
20110604;6;14;12;25
20110606;1;7;14;2
20110606;1;8;13;89
20110606;1;9;13;71
20110606;1;10;13;50
20110606;1;11;13;28
20110606;1;12;12;32
20110606;1;13;12;64
20110606;1;14;12;64
20110606;1;15;12;74
20110606;1;16;12;78
20110606;1;17;12;109
20110606;1;18;12;166
20110606;1;19;12;48
20110607;2;7;7;1
20110607;2;8;8;113
20110607;2;9;8;118
20110607;2;10;12;84
20110607;2;11;14;108
20110607;2;12;14;113
20110607;2;13;15;151
20110607;2;14;15;156
20110607;2;15;15;102
20110607;2;16;14;125
20110607;2;17;14;187
20110607;2;18;14;200
20110607;2;19;14;42
20110608;3;7;13;10
20110608;3;8;10;87
20110608;3;9;13;109
20110608;3;10;13;104
20110608;3;11;14;107
20110608;3;12;14;103
20110608;3;13;14;153
20110608;3;14;14;134
20110608;3;15;14;155
20110608;3;16;14;125
20110608;3;17;22;176
20110608;3;18;23;169
20110608;3;19;24;54
20110608;3;20;26;1
20110609;4;16;23;113
20110609;4;17;22;191
20110609;4;18;21;188
20110609;4;19;21;50
20110609;4;20;20;1
20110610;5;7;20;2
20110610;5;8;20;119
20110610;5;11;29;95
20110610;5;12;25;151
20110610;5;13;25;143
20110610;5;14;24;131
20110610;5;15;23;153
20110610;5;16;23;134
20110610;5;17;23;164
20110610;5;18;22;195
20110610;5;19;21;41
20110611;6;9;21;21
20110611;6;10;22;34
20110611;6;11;21;63
20110611;6;12;22;90
20110611;6;13;25;109
20110611;6;14;24;39
20110611;6;15;25;1
20110613;1;7;28;4
20110613;1;8;27;95
20110613;1;18;22;176
20110613;1;19;23;62
20110614;2;7;18;1
20110614;2;8;17;77
20110614;2;9;17;113
20110614;2;10;16;75
20110614;2;11;15;99
20110614;2;12;14;109
20110614;2;13;13;123
20110614;2;14;13;113
20110614;2;15;13;113
20110614;2;16;14;125
20110614;2;17;16;140
20110614;2;18;17;151
20110615;3;7;16;4
20110615;3;8;15;68
20110615;3;9;15;86
20110615;3;10;16;59
20110616;4;9;26;51
20110616;4;10;27;64
20110616;4;11;27;67
20110616;4;12;28;87
20110616;4;13;26;124
20110616;4;14;24;112
20110616;4;15;23;110
20110616;4;16;23;115
20110616;4;17;23;141
20110616;4;18;23;181
20110617;5;9;23;69
20110617;5;10;23;72
20110617;5;11;22;107
20110617;5;12;23;101
20110617;5;13;22;138
20110617;5;14;21;95
20110617;5;15;20;130
20110617;5;16;20;102
20110617;5;17;19;135
20110617;5;18;18;146
20110617;5;19;18;39
20110627;1;7;21;2
20110627;1;8;21;64
20110627;1;9;21;72
20110627;1;10;21;65
20110627;1;11;21;71
20110627;1;12;20;65
20110627;1;13;19;104
20110627;1;14;19;102
20110627;1;15;18;101
20110627;1;16;18;123
20110627;1;17;18;135
20110627;1;18;18;152
20110627;1;19;19;50
20110704;1;7;4;2
20110704;1;8;5;65
20110704;1;9;5;81
20110704;1;10;6;70
20110704;1;11;7;82
20110704;1;12;9;100
20110704;1;13;10;100
20110704;1;14;11;99
20110704;1;15;12;93
20110704;1;16;12;94
20110704;1;17;12;131
20110704;1;18;12;141
20110704;1;19;12;36
20110705;2;7;6;2
20110705;2;8;6;80
20110705;2;9;6;78
20110705;2;10;7;85
20110705;2;11;8;97
20110705;2;12;9;95
20110705;2;13;10;130
20110705;2;14;11;114
20110705;2;15;12;116
20110705;2;16;12;113
20110705;2;17;12;129
