orden;id_esta;id_path;nom_esta;long;lat;cant
1;BT_38 ;BT_38_BT_32;PZA, DE MAYO;-58,3989047029342;-34,6121235856114;11488
2;BT_32 ;BT_38_BT_32;UCA PUERTO MADERO;-58,3657458611297;-34,6155514279975;11488
1;BT_38 ;BT_38_BT_38;PZA, DE MAYO;-58,3989047029342;-34,6121235856114;23142
2;BT_38 ;BT_38_BT_38;PZA, DE MAYO;-58,3989047029342;-34,6121235856114;23142
1;BT_38 ;BT_38_BT_74;PZA, DE MAYO;-58,3989047029342;-34,6121235856114;11737
2;BT_74 ;BT_38_BT_74;PZA, ROMA;-58,3689503833679;-34,6017210875929;11737
1;BT_44 ;BT_44_BT_107;ADUANA;-58,3689178425541;-34,6112420249771;18560
2;BT_107;BT_44_BT_107;RETIRO;-58,3748217877563;-34,5925888097729;18560
1;BT_44 ;BT_44_BT_14;ADUANA;-58,3689178425541;-34,6112420249771;11360
2;BT_14 ;BT_44_BT_14;PARQUE LEZAMA;-58,3693603511372;-34,6279470454629;11360
1;BT_44 ;BT_44_BT_32;ADUANA;-58,3689178425541;-34,6112420249771;13150
2;BT_32 ;BT_44_BT_32;UCA PUERTO MADERO;-58,3657458611297;-34,6155514279975;13150
1;BT_44 ;BT_44_BT_44;ADUANA;-58,3689178425541;-34,6112420249771;26214
2;BT_44 ;BT_44_BT_44;ADUANA;-58,3689178425541;-34,6112420249771;26214
1;BT_44 ;BT_44_BT_74;ADUANA;-58,3689178425541;-34,6112420249771;10824
2;BT_74 ;BT_44_BT_74;PZA, ROMA;-58,3689503833679;-34,6017210875929;10824
1;BT_48 ;BT_48_BT_158;CONGRESO;-58,3892532601533;-34,6099304592001;10646
2;BT_158;BT_48_BT_158;VIRREY CEVALLOS;-58,3886793;-34,62255;10646
1;BT_48 ;BT_48_BT_28;CONGRESO;-58,3892532601533;-34,6099304592001;10613
2;BT_28 ;BT_48_BT_28;INDEPENDENCIA;-58,3804806550249;-34,6173731525033;10613
1;BT_48 ;BT_48_BT_38;CONGRESO;-58,3892532601533;-34,6099304592001;10159
2;BT_38 ;BT_48_BT_38;PZA, DE MAYO;-58,3989047029342;-34,6121235856114;10159
1;BT_48 ;BT_48_BT_48;CONGRESO;-58,3892532601533;-34,6099304592001;27906
2;BT_48 ;BT_48_BT_48;CONGRESO;-58,3892532601533;-34,6099304592001;27906
1;BT_48 ;BT_48_BT_49;CONGRESO;-58,3892532601533;-34,6099304592001;12576
2;BT_49 ;BT_48_BT_49;ONCE;-58,4065992807793;-34,6096220036013;12576
1;BT_49 ;BT_49_BT_48;ONCE;-58,4065992807793;-34,6096220036013;10862
2;BT_48 ;BT_49_BT_48;CONGRESO;-58,3892532601533;-34,6099304592001;10862
1;BT_49 ;BT_49_BT_49;ONCE;-58,4065992807793;-34,6096220036013;13287
2;BT_49 ;BT_49_BT_49;ONCE;-58,4065992807793;-34,6096220036013;13287
1;BT_51 ;BT_51_BT_51;PARQUE CENTENARIO;-58,4345767879498;-34,6084590356008;17899
2;BT_51 ;BT_51_BT_51;PARQUE CENTENARIO;-58,4345767879498;-34,6084590356008;17899
1;BT_56 ;BT_56_BT_127;PLAZA ALMAGRO;-58,4188322144416;-34,6063985250933;10420
2;BT_127;BT_56_BT_127;PARQUE LAS HERAS;-58,4071446712567;-34,5839145725724;10420
1;BT_56 ;BT_56_BT_56;PLAZA ALMAGRO;-58,4188322144416;-34,6063985250933;18708
2;BT_56 ;BT_56_BT_56;PLAZA ALMAGRO;-58,4188322144416;-34,6063985250933;18708
1;BT_57 ;BT_57_BT_107;OBELISCO;-58,3809896041082;-34,6058404963166;12480
2;BT_107;BT_57_BT_107;RETIRO;-58,3748217877563;-34,5925888097729;12480
1;BT_57 ;BT_57_BT_28;OBELISCO;-58,3809896041082;-34,6058404963166;10716
2;BT_28 ;BT_57_BT_28;INDEPENDENCIA;-58,3804806550249;-34,6173731525033;10716
1;BT_57 ;BT_57_BT_49;OBELISCO;-58,3809896041082;-34,6058404963166;10704
2;BT_49 ;BT_57_BT_49;ONCE;-58,4065992807793;-34,6096220036013;10704
1;BT_57 ;BT_57_BT_57;OBELISCO;-58,3809896041082;-34,6058404963166;26610
2;BT_57 ;BT_57_BT_57;OBELISCO;-58,3809896041082;-34,6058404963166;26610
1;BT_74 ;BT_74_BT_107;PZA, ROMA;-58,3689503833679;-34,6017210875929;21079
2;BT_107;BT_74_BT_107;RETIRO;-58,3748217877563;-34,5925888097729;21079
1;BT_74 ;BT_74_BT_157;PZA, ROMA;-58,3689503833679;-34,6017210875929;12149
2;BT_157;BT_74_BT_157;EMMA DE LA BARRA;-58,368876;-34,600418;12149
1;BT_74 ;BT_74_BT_32;PZA, ROMA;-58,3689503833679;-34,6017210875929;16854
2;BT_32 ;BT_74_BT_32;UCA PUERTO MADERO;-58,3657458611297;-34,6155514279975;16854
1;BT_74 ;BT_74_BT_74;PZA, ROMA;-58,3689503833679;-34,6017210875929;23214
2;BT_74 ;BT_74_BT_74;PZA, ROMA;-58,3689503833679;-34,6017210875929;23214
1;BT_78 ;BT_78_BT_107;TRIBUNALES;-58,3850216107216;-34,6013128134582;14155
2;BT_107;BT_78_BT_107;RETIRO;-58,3748217877563;-34,5925888097729;14155
1;BT_78 ;BT_78_BT_78;TRIBUNALES;-58,3850216107216;-34,6013128134582;19387
2;BT_78 ;BT_78_BT_78;TRIBUNALES;-58,3850216107216;-34,6013128134582;19387
1;BT_81 ;BT_81_BT_81;SUIPACHA;-58,3795661232215;-34,6002957825126;14340
2;BT_81 ;BT_81_BT_81;SUIPACHA;-58,3795661232215;-34,6002957825126;14340
1;BT_88 ;BT_88_BT_49;PLAZA HOUSSAY;-58,3985214522976;-34,5991898492147;11256
2;BT_49 ;BT_88_BT_49;ONCE;-58,4065992807793;-34,6096220036013;11256
1;BT_88 ;BT_88_BT_88;PLAZA HOUSSAY;-58,3985214522976;-34,5991898492147;16452
2;BT_88 ;BT_88_BT_88;PLAZA HOUSSAY;-58,3985214522976;-34,5991898492147;16452
